,State,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
39,South Carolina,3,2,1,4,2,0,-1,1,1,0,-1,-2,-3,-2,-1,0,0,2,0,-2,-2,-1,-1,-1,-1,-1,-1,0,2,5,8,9,10,10,8,10,14,16,14,15,14,9,9,14,16,15,16,15,11,10,15,17,17,18,19,11
40,South Dakota,6,1,1,0,-1,-1,-2,0,4,0,-1,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,-1,0,-1,0,2,4,6,5,8,8,10,14,14,10,8,11,13,16,16,18,15,8,13,15,15,21,21,14,9,14,14,17,18,19,15
41,Tennessee,4,1,0,2,1,-1,0,2,0,-1,-1,-1,-2,-3,0,1,-1,-1,-1,-2,-2,-1,0,0,0,1,2,2,4,6,8,9,10,12,8,9,15,17,15,15,16,9,8,15,18,16,16,18,11,10,16,17,17,17,20,10
42,Texas,4,0,1,1,-1,-1,0,0,-1,-1,-2,-2,-3,-2,-1,-1,0,-1,-2,-2,-2,0,1,1,1,2,3,3,4,8,11,12,14,16,12,12,16,17,20,20,21,15,13,20,20,20,21,23,18,14,20,21,21,21,24,16
43,Utah,7,0,0,0,-1,0,-1,0,-1,-1,-1,-2,-2,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,1,3,4,5,8,12,17,16,15,9,8,15,17,18,19,18,13,10,17,18,19,21,19,13,10,19,19,19,20,19,12
44,Vermont,4,3,1,1,1,-1,-2,0,1,2,3,2,0,-2,0,1,1,0,0,0,-1,-1,0,1,1,2,3,3,4,7,11,14,16,16,11,10,18,20,20,22,24,14,13,22,21,22,24,25,14,11,20,21,23,24,27,15
45,Virginia,6,0,0,1,3,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,1,3,3,6,9,11,14,14,15,11,11,18,18,21,19,19,12,11,18,21,21,21,21,14,12,20,20,21,21,23,13
46,Washington,6,1,0,0,-1,-1,0,-1,-1,-1,-1,-2,-1,-1,0,1,1,1,3,2,1,2,3,4,4,6,7,5,6,10,13,14,15,14,10,10,17,20,21,23,24,16,13,22,23,22,23,23,14,12,20,22,21,22,22,14
47,West Virginia,4,0,0,0,1,0,-1,1,0,-1,1,1,0,-1,0,-1,-1,-1,1,0,-1,-1,0,0,0,0,1,2,3,5,6,8,10,11,8,9,14,13,16,15,17,9,8,15,15,15,16,16,9,8,15,15,15,17,20,10
48,Wisconsin,3,1,0,0,1,-1,-2,-1,0,0,0,0,-1,-2,-1,0,0,0,0,-1,-2,-1,0,0,0,1,2,3,4,7,11,14,17,17,12,11,16,19,20,21,23,16,13,19,20,19,20,23,14,10,19,19,20,21,24,13
49,Wyoming,6,0,0,0,0,-1,0,1,2,0,-1,-1,-2,0,1,0,-1,-1,-1,-2,-1,-1,-1,-1,-1,1,3,3,2,5,6,9,15,14,9,8,11,13,14,15,17,11,8,12,14,15,19,17,11,9,13,14,14,14,16,12
